
*************************************************************
                       POINT NUMBER = 1
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(6_x)              0.2008     0.2088  6.3250e-05    3.96
cell(6_y)              0.0497     0.0416  6.6211e-05   16.37
cell(6_z)              0.2996     0.2926  4.9646e-05    2.35
cell(Volume)         233.0557   237.0821  1.6212e+01    1.73
cell(a)                5.5970     5.5589  1.4542e-03    0.68
cell(b)                7.7110     7.7728  3.8223e-03    0.80
cell(c)                5.4000     5.4870  7.5660e-03    1.61
-------------------------------------------------------------
Sm2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9685     0.9706  4.3389e-06    0.22
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3907     0.3897  9.5648e-07    0.25
cell(3_y)              0.1504     0.1510  3.4810e-07    0.39
cell(3_z)              0.3791     0.3811  3.9164e-06    0.52
cell(4_x)              0.3907     0.3896  1.2905e-06    0.29
cell(4_y)              0.1504     0.1509  2.1902e-07    0.31
cell(4_z)              0.3791     0.3812  4.3181e-06    0.55
cell(Volume)        1329.1858  1329.0000  3.4541e-02    0.01
cell(a)               10.9950    10.9945  2.6214e-07    0.00
cell(b)               10.9950    10.9945  2.6214e-07    0.00
cell(c)               10.9950    10.9945  2.6214e-07    0.00
-------------------------------------------------------------
TmFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0691     0.0411  7.8176e-04   40.46
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4810     0.4912  1.0327e-04    2.11
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4559     0.4475  7.0291e-05    1.84
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6148     0.6043  1.1054e-04    1.71
cell(4_x)              0.3057     0.2982  5.5577e-05    2.44
cell(4_y)              0.0587     0.0558  8.3694e-06    4.93
cell(4_z)              0.1907     0.1995  7.6966e-05    4.60
cell(5_x)              0.4559     0.4472  7.6318e-05    1.92
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6148     0.6045  1.0574e-04    1.67
cell(6_x)              0.3057     0.2985  5.1984e-05    2.36
cell(6_y)              0.0587     0.0560  7.3116e-06    4.61
cell(6_z)              0.1907     0.1995  7.8110e-05    4.63
cell(Volume)         222.0563   224.2524  4.8226e+00    0.99
cell(a)                5.5760     5.4711  1.1013e-02    1.88
cell(b)                7.5840     7.6669  6.8729e-03    1.09
cell(c)                5.2510     5.3462  9.0648e-03    1.81
-------------------------------------------------------------
Tm2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9661     0.9712  2.6348e-05    0.53
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3890     0.3900  1.0465e-06    0.26
cell(3_y)              0.1540     0.1510  8.8328e-06    1.93
cell(3_z)              0.3790     0.3810  3.8652e-06    0.52
cell(4_x)              0.3890     0.3899  7.3788e-07    0.22
cell(4_y)              0.1540     0.1509  9.5914e-06    2.01
cell(4_z)              0.3790     0.3811  4.3514e-06    0.55
cell(Volume)        1154.5848  1154.5930  6.7256e-05    0.00
cell(a)               10.4908    10.4908  6.2500e-10    0.00
cell(b)               10.4908    10.4908  6.2500e-10    0.00
cell(c)               10.4908    10.4908  6.2500e-10    0.00
-------------------------------------------------------------
YbFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0708     0.0417  8.4669e-04   41.10
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4806     0.4907  1.0181e-04    2.10
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4537     0.4453  7.0930e-05    1.86
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6169     0.6068  1.0254e-04    1.64
cell(4_x)              0.3077     0.2987  8.0910e-05    2.92
cell(4_y)              0.0599     0.0572  7.2253e-06    4.49
cell(4_z)              0.1886     0.1990  1.0731e-04    5.49
cell(5_x)              0.4537     0.4449  7.6895e-05    1.93
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6169     0.6070  9.7891e-05    1.60
cell(6_x)              0.3077     0.2990  7.6423e-05    2.84
cell(6_y)              0.0599     0.0574  6.2400e-06    4.17
cell(6_z)              0.1886     0.1990  1.0887e-04    5.53
cell(Volume)         221.1158   222.7365  2.6269e+00    0.73
cell(a)                5.5686     5.4578  1.2286e-02    1.99
cell(b)                7.5843     7.6573  5.3357e-03    0.96
cell(c)                5.2355     5.3297  8.8644e-03    1.80
-------------------------------------------------------------
Yb2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9675     0.9713  1.4100e-05    0.39
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3902     0.3900  2.8561e-08    0.04
cell(3_y)              0.1532     0.1510  4.7263e-06    1.42
cell(3_z)              0.3804     0.3810  3.1360e-07    0.15
cell(4_x)              0.3902     0.3899  1.1156e-07    0.09
cell(4_y)              0.1532     0.1509  5.2946e-06    1.50
cell(4_z)              0.3804     0.3811  4.6376e-07    0.18
cell(Volume)        1136.5858  1136.6601  5.5281e-03    0.01
cell(a)               10.4360    10.4362  5.1984e-08    0.00
cell(b)               10.4360    10.4362  5.1984e-08    0.00
cell(c)               10.4360    10.4362  5.1984e-08    0.00
-------------------------------------------------------------
YFeO3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.0680     0.0388  8.5124e-04   42.91
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4811     0.4924  1.2692e-04    2.34
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4614     0.4515  9.8327e-05    2.15
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6109     0.5998  1.2354e-04    1.82
cell(4_x)              0.3069     0.2975  8.8003e-05    3.06
cell(4_y)              0.0583     0.0532  2.5959e-05    8.74
cell(4_z)              0.1927     0.2003  5.7745e-05    3.94
cell(5_x)              0.4614     0.4511  1.0529e-04    2.22
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6109     0.6000  1.1779e-04    1.78
cell(6_x)              0.3069     0.2978  8.3722e-05    2.98
cell(6_y)              0.0583     0.0534  2.4079e-05    8.42
cell(6_z)              0.1927     0.2003  5.8186e-05    3.96
cell(Volume)         224.7610   227.9915  1.0436e+01    1.44
cell(a)                5.5957     5.4976  9.6330e-03    1.75
cell(b)                7.6046     7.7032  9.7257e-03    1.30
cell(c)                5.2819     5.3837  1.0354e-02    1.93
-------------------------------------------------------------
Y2O3                    ref        calc    error^2    %P.R.E.
cell(1_x)              0.0000     0.0000  0.0000e+00    0.00
