
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
Pr2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9695     0.9703  5.9753e-07    0.08
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3905     0.3896  8.5563e-07    0.24
cell(3_y)              0.1494     0.1510  2.4555e-06    1.05
cell(3_z)              0.3786     0.3811  6.3958e-06    0.67
cell(4_x)              0.3905     0.3894  1.1664e-06    0.28
cell(4_y)              0.1494     0.1508  2.0909e-06    0.97
cell(4_z)              0.3786     0.3812  6.8592e-06    0.69
cell(Volume)        1438.3050  1414.9503  5.4544e+02    1.62
cell(a)               11.2880    11.2266  3.7738e-03    0.54
cell(b)               11.2880    11.2266  3.7738e-03    0.54
cell(c)               11.2880    11.2266  3.7738e-03    0.54
-------------------------------------------------------------
SmFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4433     0.4676  5.9132e-04    5.49
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0131     0.0051  6.4722e-05   61.41
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5290     0.5311  4.4394e-06    0.40
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5947     0.5783  2.6768e-04    2.75
cell(4_x)              0.2008     0.2089  6.5238e-05    4.02
cell(4_y)              0.0497     0.0415  6.7519e-05   16.53
cell(4_z)              0.2996     0.2926  4.9351e-05    2.34
cell(5_x)              0.5290     0.5315  6.2750e-06    0.47
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5947     0.5786  2.6027e-04    2.71
cell(6_x)              0.2008     0.2087  6.2536e-05    3.94
cell(6_y)              0.0497     0.0416  6.4947e-05   16.22
cell(6_z)              0.2996     0.2926  4.8888e-05    2.33
cell(Volume)         233.0557   234.5203  2.1450e+00    0.63
cell(a)                5.5970     5.5391  3.3526e-03    1.03
cell(b)                7.7110     7.7445  1.1221e-03    0.43
cell(c)                5.4000     5.4670  4.4874e-03    1.24
-------------------------------------------------------------
Sm2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9685     0.9706  4.3098e-06    0.21
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3907     0.3897  9.6432e-07    0.25
cell(3_y)              0.1504     0.1510  3.4457e-07    0.39
cell(3_z)              0.3791     0.3811  3.9085e-06    0.52
