
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(4_x)              0.3071     0.2975  9.2872e-05    3.14
cell(4_y)              0.0621     0.0540  6.5173e-05   13.00
cell(4_z)              0.1893     0.2003  1.2162e-04    5.83
cell(5_x)              0.4539     0.4500  1.5070e-05    0.86
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6199     0.6013  3.4693e-04    3.00
cell(6_x)              0.3071     0.2977  8.8435e-05    3.06
cell(6_y)              0.0621     0.0542  6.2221e-05   12.70
cell(6_z)              0.1893     0.2004  1.2292e-04    5.86
cell(Volume)         218.7534   225.5894  4.6731e+01    3.12
cell(a)                5.5470     5.4841  3.9541e-03    1.13
cell(b)                7.5650     7.6710  1.1241e-02    1.40
cell(c)                5.2130     5.3624  2.2318e-02    2.87
-------------------------------------------------------------
Lu2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9670     0.9711  1.6565e-05    0.42
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3912     0.3899  1.5725e-06    0.32
cell(3_y)              0.1521     0.1510  1.1772e-06    0.71
cell(3_z)              0.3800     0.3810  9.8208e-07    0.26
cell(4_x)              0.3912     0.3898  2.0136e-06    0.36
cell(4_y)              0.1521     0.1509  1.4689e-06    0.80
cell(4_z)              0.3800     0.3811  1.2254e-06    0.29
cell(Volume)        1110.3255  1174.9504  4.1764e+03    5.82
cell(a)               10.3550    10.5521  3.8857e-02    1.90
cell(b)               10.3550    10.5521  3.8857e-02    1.90
cell(c)               10.3550    10.5521  3.8857e-02    1.90
-------------------------------------------------------------
PrFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4563     0.4737  3.0408e-04    3.82
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0090     0.0036  2.9333e-05   60.18
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
